a,b,Target
2 , 4 , 12.0
3 , 5 , 16.0
4 , 6 , 20.0
5 , 7 , 24.0
6 , 8 , 28.0
2 , 4 , 16.0
3 , 5 , 20.0
4 , 6 , 24.0
5 , 7 , 28.0
6 , 8 , 32.0
2 , 4 , 20.0
3 , 5 , 24.0
4 , 6 , 28.0
5 , 7 , 32.0
6 , 8 , 36.0
2 , 4 , 36.0
3 , 5 , 44.0
4 , 6 , 52.0
5 , 7 , 60.0
6 , 8 , 68.0
2 , 4 , 52.0
3 , 5 , 64.0
4 , 6 , 76.0
5 , 7 , 88.0
6 , 8 , 100.0
2 , 4 , 68.0
3 , 5 , 84.0
4 , 6 , 100.0
5 , 7 , 116.0
6 , 8 , 132.0
2 , 4 , 84.0
3 , 5 , 104.0
4 , 6 , 124.0
5 , 7 , 144.0
6 , 8 , 164.0
2 , 4 , 100.0
3 , 5 , 124.0
4 , 6 , 148.0
5 , 7 , 172.0
6 , 8 , 196.0
2 , 4 , 108.0
3 , 5 , 136.0
4 , 6 , 164.0
5 , 7 , 192.0
6 , 8 , 220.0
2 , 4 , 200.0
3 , 5 , 240.0
4 , 6 , 280.0
5 , 7 , 320.0
6 , 8 , 360.0
